City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
196,Anori,BR,-3.7728,-61.6442,79.84,76,90,1.45,overcast clouds
197,Port Blair,IN,11.6667,92.75,78.84,94,100,3.44,very heavy rain
198,Tomatlan,MX,19.9333,-105.25,83.52,73,100,5.79,overcast clouds
199,Ribeira Grande,PT,38.5167,-28.7,69.91,90,49,7.67,scattered clouds
200,Pisco,PE,-13.7,-76.2167,62.65,77,21,14.97,haze
201,Pangkalanbuun,ID,-2.6833,111.6167,75.76,95,59,2.77,broken clouds
202,Carballo,ES,43.213,-8.691,65.89,90,52,1.66,broken clouds
203,Qaanaaq,GL,77.484,-69.3632,51.35,59,54,8.19,broken clouds
204,Lasa,IT,46.6166,10.7002,72.48,88,4,3.65,clear sky
205,Lavrentiya,RU,65.5833,-171.0,47.59,59,9,4.76,clear sky
206,Bengkulu,ID,-3.8004,102.2655,76.12,86,100,3.47,moderate rain
207,Aviles,ES,43.5547,-5.9248,74.17,87,0,4.61,clear sky
208,Dicabisagan,PH,17.0818,122.4157,84.15,78,72,3.71,broken clouds
209,Makakilo City,US,21.3469,-158.0858,82.72,57,100,12.66,overcast clouds
210,Quang Ngai,VN,15.1167,108.8,81.28,83,37,3.91,scattered clouds
211,Kaitangata,NZ,-46.2817,169.8464,42.37,77,52,9.86,broken clouds
212,Galveston,US,29.3669,-94.9669,87.03,76,0,9.22,clear sky
213,Sovetskiy,RU,61.3614,63.5842,65.77,89,27,3.74,scattered clouds
214,Santa Eulalia,PE,-11.85,-76.6833,51.4,52,0,1.36,clear sky
215,Kavieng,PG,-2.5744,150.7967,83.19,71,78,8.75,broken clouds
216,Thanh Hoa,VN,19.8,105.7667,81.79,86,48,2.68,scattered clouds
217,Saint-Ambroise,CA,48.5501,-71.3324,75.52,53,63,3.44,broken clouds
218,Micheweni,TZ,-4.9667,39.8333,74.05,87,77,11.81,broken clouds
219,Belyy Yar,RU,53.6039,91.3903,53.49,87,0,0.0,clear sky
220,Souillac,MU,-20.5167,57.5167,66.58,94,75,11.5,broken clouds
221,Husavik,IS,66.0449,-17.3389,50.86,77,54,5.3,broken clouds
222,Bambanglipuro,ID,-7.95,110.2833,75.78,88,29,3.27,scattered clouds
223,Easley,US,34.8298,-82.6015,88.39,62,75,4.61,broken clouds
224,Saint Anthony,US,45.0205,-93.218,88.18,56,40,6.91,scattered clouds
225,Bayir,TR,37.2687,28.2167,64.92,44,0,4.09,clear sky
226,Discovery Bay,US,37.9085,-121.6002,98.22,20,0,20.71,clear sky
227,Ancud,CL,-41.8697,-73.8203,40.23,77,0,3.44,clear sky
228,Kosovo Polje,XK,42.6394,21.0961,64.36,68,0,0.0,clear sky
229,Sayaxche,GT,16.5167,-90.1667,78.12,84,100,3.85,overcast clouds
230,Lompoc,US,34.6391,-120.4579,87.78,70,0,14.97,clear sky
231,Walvis Bay,NA,-22.9575,14.5053,72.09,24,0,11.5,clear sky
232,Terney,RU,45.0503,136.6092,59.54,96,100,14.36,light rain
233,Hailar,CN,49.2,119.7,69.12,82,91,9.84,overcast clouds
234,Biskamzha,RU,53.4497,89.5272,54.88,71,94,1.39,overcast clouds
235,Talnakh,RU,69.4865,88.3972,61.21,58,6,1.21,clear sky
236,Rio Grande,BR,-32.035,-52.0986,62.71,98,72,8.14,broken clouds
237,Izhma,RU,65.0083,53.9113,68.67,74,51,7.85,broken clouds
238,Belaya Gora,RU,68.5333,146.4167,66.61,57,55,15.95,broken clouds
239,Takoradi,GH,4.8845,-1.7554,75.11,89,91,11.16,overcast clouds
240,Iskateley,RU,67.6803,53.1512,70.21,74,93,10.29,overcast clouds
241,Cairns,AU,-16.9167,145.7667,72.07,86,75,14.97,broken clouds
242,Avera,US,33.194,-82.5271,83.55,81,79,6.42,broken clouds
243,Yining,CN,29.0361,114.5636,85.93,70,100,1.03,overcast clouds
244,Amga,RU,60.8953,131.9608,79.14,62,30,3.44,scattered clouds
245,Cape Coast,GH,5.1053,-1.2466,75.29,89,90,11.88,light rain
246,Mopti,ML,14.6667,-4.0,84.24,79,0,9.22,clear sky
247,Mahebourg,MU,-20.4081,57.7,68.25,94,75,11.5,broken clouds
248,Rawatsar,IN,29.2833,74.3833,87.67,60,58,8.61,broken clouds
249,Abonnema,NG,4.7084,6.7931,75.54,85,99,5.82,overcast clouds
250,Namatanai,PG,-3.6667,152.4333,83.64,68,88,5.53,overcast clouds
251,Hay River,CA,60.8156,-115.7999,62.58,77,75,11.5,broken clouds
252,Egvekinot,RU,66.3167,-179.1667,47.66,56,83,4.68,broken clouds
253,Oussouye,SN,12.485,-16.5469,82.49,83,100,8.34,overcast clouds
254,Khandyga,RU,62.6667,135.6,78.49,66,11,1.19,few clouds
255,Mosjoen,NO,65.836,13.1908,48.72,87,75,2.3,broken clouds
256,Gat,IL,31.61,34.7642,77.68,100,0,3.44,clear sky
257,Senno,RU,59.5336,33.9167,52.27,98,16,4.83,few clouds
258,Paldiski,EE,59.3567,24.0531,55.9,87,40,10.36,scattered clouds
259,Mokrous,RU,51.2333,47.5167,62.22,76,0,4.18,clear sky
260,Owo,NG,7.1962,5.5868,69.26,99,93,3.6,overcast clouds
261,Molchanovo,RU,57.5817,83.7692,55.33,82,85,0.56,overcast clouds
262,Mporokoso,ZM,-9.3727,30.125,59.18,62,33,8.93,scattered clouds
263,Sheridan,US,44.8333,-106.9173,91.78,28,75,17.27,broken clouds
264,Porto Belo,BR,-27.1578,-48.5531,65.79,95,100,4.59,overcast clouds
265,Fortuna,US,40.5982,-124.1573,70.93,73,40,8.99,scattered clouds
266,Dalby,AU,-27.1833,151.2667,57.42,53,0,2.95,clear sky
267,Lyngseidet,NO,69.5763,20.2189,55.4,82,76,2.64,broken clouds
268,Alpoyeca,MX,17.6667,-98.5167,71.17,95,98,3.62,overcast clouds
269,Dukat,RU,62.55,155.55,75.99,34,13,6.26,few clouds
270,Mezen,RU,65.8522,44.24,65.21,97,100,9.46,light rain
271,Vanimo,PG,-2.6741,141.3028,81.28,79,92,5.19,light rain
272,Gudur,IN,14.1333,79.85,84.61,56,80,14.65,broken clouds
273,Rockhampton,AU,-23.3833,150.5,64.29,59,9,11.5,clear sky
274,Jeremie,HT,18.65,-74.1167,80.91,80,31,4.14,scattered clouds
275,Nizhniy Tsasuchey,RU,50.5167,115.1333,64.47,91,100,4.25,moderate rain
276,Qaqortoq,GL,60.7167,-46.0333,40.48,93,60,7.0,broken clouds
277,Sungairaya,ID,0.7,108.9,79.45,82,82,3.47,broken clouds
278,Dong Hoi,VN,17.4833,106.6,81.59,83,22,3.87,few clouds
